Pixel Value,Frequency
0,140937
1,49407
2,40363
3,31653
4,25210
5,19317
6,15514
7,12220
8,9962
9,8058
10,6854
11,5684
12,4810
13,4203
14,3425
15,3097
16,2775
17,2459
18,2159
19,1916
20,1687
21,1496
22,1331
23,1196
24,1116
25,1094
26,926
27,806
28,760
29,757
30,655
31,598
32,520
33,501
34,463
35,433
36,411
37,407
38,353
39,307
40,299
41,305
42,300
43,254
44,223
45,237
46,236
47,180
48,186
49,195
50,178
51,143
52,194
53,126
54,153
55,137
56,149
57,116
58,104
59,112
60,110
61,117
62,108
63,94
64,106
65,98
66,93
67,79
68,80
69,73
70,69
71,66
72,61
73,64
74,57
75,64
76,66
77,59
78,62
79,54
80,64
81,48
82,53
83,51
84,48
85,39
86,42
87,37
88,45
89,30
90,32
91,44
92,37
93,22
94,31
95,33
96,41
97,35
98,30
99,20
100,26
101,26
102,19
103,19
104,14
105,23
106,18
107,20
108,27
109,16
110,20
111,11
112,14
113,9
114,15
115,16
116,16
117,19
118,16
119,14
120,9
121,13
122,8
123,9
124,14
125,7
126,9
127,8
128,11
129,3
130,9
131,6
132,8
133,7
134,4
135,6
136,4
137,9
138,3
139,4
140,9
141,8
142,6
143,6
144,0
145,4
146,6
147,6
148,1
149,4
150,3
151,3
152,7
153,1
154,4
155,3
156,5
157,1
158,2
159,1
160,6
161,1
162,4
163,5
164,2
165,4
166,0
167,3
168,0
169,3
170,2
171,3
172,4
173,4
174,3
175,0
176,0
177,3
178,3
179,0
180,3
181,2
182,0
183,3
184,2
185,2
186,1
187,2
188,4
189,1
190,0
191,2
192,2
193,2
194,0
195,1
196,1
197,3
198,1
199,1
200,2
201,6
202,2
203,1
204,1
205,0
206,1
207,1
208,0
209,2
210,0
211,1
212,4
213,3
214,2
215,3
216,4
217,4
218,2
219,5
220,3
221,6
222,4
223,2
224,4
225,2
226,5
227,3
228,1
229,3
230,1
231,4
232,2
233,1
234,1
235,0
236,0
237,0
238,2
239,2
240,2
241,0
242,2
243,2
244,5
245,7
246,21
247,43
248,75
249,112
250,187
251,147
252,113
253,91
254,85
255,397
