Pixel Value,Frequency
0,176811
1,63257
2,47476
3,35312
4,27246
5,22040
6,18601
7,16017
8,14183
9,12673
10,11554
11,10345
12,9115
13,8346
14,7263
15,6484
16,5593
17,4998
18,4464
19,3936
20,3403
21,2960
22,2764
23,2461
24,2194
25,1907
26,1753
27,1549
28,1387
29,1282
30,1161
31,1039
32,958
33,868
34,740
35,701
36,650
37,561
38,533
39,481
40,414
41,422
42,369
43,389
44,333
45,289
46,295
47,275
48,246
49,250
50,183
51,207
52,195
53,166
54,161
55,169
56,145
57,120
58,158
59,118
60,127
61,128
62,110
63,82
64,97
65,85
66,85
67,76
68,51
69,65
70,73
71,62
72,63
73,74
74,62
75,47
76,52
77,51
78,66
79,42
80,45
81,47
82,26
83,41
84,33
85,34
86,26
87,38
88,30
89,49
90,39
91,36
92,31
93,28
94,35
95,23
96,28
97,19
98,38
99,20
100,22
101,25
102,25
103,25
104,19
105,27
106,13
107,19
108,17
109,25
110,19
111,12
112,15
113,20
114,22
115,11
116,14
117,15
118,15
119,12
120,15
121,12
122,12
123,9
124,11
125,7
126,11
127,14
128,9
129,2
130,7
131,7
132,8
133,4
134,5
135,7
136,8
137,8
138,7
139,7
140,6
141,8
142,4
143,2
144,5
145,4
146,10
147,6
148,2
149,1
150,3
151,4
152,3
153,3
154,1
155,5
156,4
157,3
158,1
159,2
160,3
161,3
162,5
163,2
164,1
165,3
166,2
167,0
168,1
169,5
170,1
171,1
172,1
173,2
174,1
175,1
176,3
177,2
178,1
179,4
180,1
181,0
182,2
183,0
184,3
185,1
186,1
187,0
188,2
189,1
190,2
191,1
192,1
193,2
194,0
195,1
196,1
197,1
198,1
199,0
200,0
201,1
202,0
203,0
204,3
205,0
206,2
207,0
208,0
209,0
210,3
211,0
212,0
213,1
214,4
215,0
216,1
217,2
218,0
219,1
220,0
221,5
222,0
223,1
224,2
225,2
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,2
244,5
245,8
246,18
247,37
248,120
249,195
250,193
251,106
252,98
253,109
254,145
255,439
