Pixel Value,Frequency
0,72378
1,4750
2,4820
3,4716
4,4330
5,4305
6,3924
7,3679
8,3306
9,3010
10,2657
11,2256
12,2060
13,1760
14,1499
15,1267
16,1138
17,907
18,779
19,689
20,585
21,510
22,455
23,394
24,335
25,275
26,267
27,230
28,212
29,180
30,169
31,155
32,120
33,118
34,105
35,115
36,103
37,80
38,70
39,75
40,64
41,59
42,60
43,57
44,58
45,47
46,50
47,49
48,57
49,44
50,44
51,33
52,37
53,32
54,27
55,28
56,34
57,26
58,19
59,25
60,29
61,17
62,23
63,25
64,26
65,20
66,28
67,21
68,24
69,19
70,24
71,18
72,24
73,17
74,23
75,15
76,10
77,15
78,6
79,16
80,14
81,13
82,12
83,5
84,18
85,12
86,13
87,10
88,5
89,10
90,14
91,11
92,15
93,11
94,11
95,10
96,8
97,8
98,12
99,13
100,12
101,11
102,8
103,9
104,12
105,13
106,8
107,7
108,7
109,7
110,6
111,6
112,6
113,5
114,6
115,2
116,5
117,5
118,5
119,5
120,0
121,3
122,3
123,3
124,6
125,5
126,4
127,1
128,3
129,2
130,0
131,3
132,2
133,2
134,4
135,3
136,4
137,2
138,4
139,3
140,3
141,1
142,4
143,0
144,1
145,3
146,0
147,0
148,0
149,2
150,2
151,1
152,1
153,1
154,2
155,2
156,0
157,0
158,1
159,1
160,1
161,2
162,1
163,1
164,4
165,1
166,0
167,2
168,1
169,0
170,1
171,3
172,3
173,1
174,0
175,1
176,1
177,1
178,2
179,0
180,0
181,1
182,0
183,1
184,3
185,0
186,0
187,1
188,0
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,0
197,0
198,1
199,2
200,1
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,2
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
