Pixel Value,Frequency
0,114183
1,10515
2,9831
3,9114
4,8506
5,7777
6,7269
7,6660
8,6034
9,5496
10,4895
11,4225
12,3847
13,3228
14,2895
15,2435
16,2115
17,1757
18,1405
19,1263
20,1112
21,884
22,802
23,633
24,539
25,523
26,422
27,413
28,349
29,373
30,244
31,240
32,242
33,222
34,169
35,165
36,170
37,130
38,139
39,137
40,99
41,108
42,107
43,73
44,79
45,66
46,55
47,56
48,62
49,39
50,40
51,50
52,40
53,32
54,23
55,30
56,29
57,17
58,29
59,32
60,32
61,15
62,17
63,17
64,14
65,14
66,15
67,22
68,10
69,15
70,11
71,12
72,16
73,6
74,9
75,3
76,5
77,8
78,3
79,5
80,5
81,4
82,4
83,3
84,2
85,7
86,4
87,5
88,8
89,6
90,6
91,0
92,3
93,3
94,0
95,2
96,5
97,3
98,3
99,4
100,1
101,1
102,5
103,4
104,5
105,1
106,3
107,1
108,1
109,0
110,2
111,0
112,0
113,1
114,1
115,3
116,0
117,2
118,4
119,1
120,6
121,1
122,0
123,2
124,0
125,3
126,0
127,2
128,0
129,0
130,0
131,0
132,0
133,2
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,2
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,2
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,2
178,2
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,274
249,15
250,0
251,0
252,0
253,0
254,0
255,772
